"Time, s",VPS1 [Case 1],CPS1 [Case 1]
0,5.01E-06,0
0.0002,4.670672974,2.146060689
0.0004,5.06927749,4.279927034
0.0006,5.436003477,6.389473979
0.0008,5.771809424,8.462714659
0.001,6.074903674,10.48786851
0.0012,6.343213596,12.45342819
0.0014,6.575222812,14.34822501
0.0016,6.769588789,16.16149236
0.0018,6.92519968,17.88292688
0.002,7.041189073,19.50274705
0.0022,7.11691332,21.01174871
0.0024,7.151948304,22.40135743
0.0026,7.146110428,23.66367717
0.0028,7.099419774,24.79153517
0.003,7.012164024,25.77852272
0.0032,6.884807482,26.61903157
0.0034,6.718079672,27.30828577
0.0036,6.512867249,27.84236884
0.0038,6.270350057,28.21824602
0.004,5.991964697,28.43378149
0.0042,5.679299683,28.48775055
0.0044,5.334123498,28.37984652
0.0046,4.958401895,28.11068255
0.0048,4.554267877,27.68178807
0.005,4.12402288,27.09560015
0.0052,3.670105016,26.35544962
0.0054,3.195092198,25.46554217
0.0056,2.701683963,24.43093444
0.0058,2.192687493,23.25750525
0.006,1.670985549,21.95192229
0.0062,1.139547493,20.52160412
0.0064,0.601393794,18.9746781
0.0066,0.059572343,17.31993418
0.0068,-0.482836613,15.56677494
0.007,-1.022728795,13.72516218
0.0072,-1.557059872,11.8055603
0.0074,-2.082788115,9.818876881
0.0076,-2.596911982,7.776400643
0.0078,-3.096524023,5.689737345
0.008,-3.578780239,3.570743824
0.0082,-4.04094474,1.431460625
0.0084,-4.480389176,-0.715956419
0.0086,-4.894616521,-2.859305256
0.0088,-5.281275521,-4.98640695
0.009,-5.638164426,-7.085174885
0.0092,-5.963255283,-9.143683443
0.0094,-6.254700241,-11.15023577
0.0096,-6.510837665,-13.09343023
0.0098,-6.730212386,-14.96222521
0.01,-6.911574632,-16.74600184
0.0102,-7.053891522,-18.43462435
0.0104,-7.156352955,-20.01849764
0.0106,-7.218372581,-21.48862184
0.0108,-7.239601602,-22.8366434
0.011,-7.219920965,-24.0549026
0.0112,-7.159443554,-25.13647704
0.0114,-7.05851823,-26.07522101
0.0116,-6.917718444,-26.86580037
0.0118,-6.737844957,-27.50372289
0.012,-6.519919099,-27.98536377
0.0122,-6.265178422,-28.30798624
0.0124,-5.975070004,-28.46975708
0.0126,-5.651237428,-28.46975708
0.0128,-5.295512598,-28.30798624
0.013,-4.909901564,-27.98536377
0.0132,-4.496583236,-27.50372289
0.0134,-4.057930523,-26.86580037
0.0136,-3.596436553,-26.07522101
0.0138,-3.114715397,-25.13647704
0.014,-2.615515636,-24.0549026
0.0142,-2.10168234,-22.8366434
0.0144,-1.57613786,-21.48862184
0.0146,-1.041863667,-20.01849764
0.0148,-0.501891409,-18.43462435
0.015,0.040712976,-16.74600184
0.0152,0.582862326,-14.96222521
0.0154,1.121479446,-13.09343023
0.0156,1.653506585,-11.15023577
0.0158,2.17592152,-9.143683443
0.016,2.685757623,-7.085174885
0.0162,3.180119105,-4.98640695
0.0164,3.656200277,-2.859305256
0.0166,4.111297567,-0.715956419
0.0168,4.54282753,1.431460625
0.017,4.948340137,3.570743824
0.0172,5.325531902,5.689737345
0.0174,5.672261149,7.776400643
0.0176,5.98655745,9.818876881
0.0178,6.266634143,11.8055603
0.018,6.510894199,13.72516218
0.0182,6.717932604,15.56677494
0.0184,6.886556481,17.31993418
0.0186,7.015814859,18.9746781
0.0188,7.104988671,20.52160412
0.019,7.153595443,21.95192229
0.0192,7.161359817,23.25750525
0.0194,7.1282444,24.43093444
0.0196,7.054425478,25.46554217
0.0198,6.940337642,26.35544962
0.02,6.786621029,27.09560015
0.0202,6.594131633,27.68178807
0.0204,6.363908455,28.11068255
0.0206,6.097267077,28.37984652
0.0208,5.795801222,28.48775055
0.021,5.461218375,28.43378149
0.0212,5.095412792,28.21824602
0.0214,4.700467663,27.84236884
0.0216,4.278626331,27.30828577
0.0218,3.832278829,26.61903157
0.022,3.363970959,25.77852272
0.0222,2.876357798,24.79153517
0.0224,2.372210496,23.66367717
0.0226,1.854388142,22.40135743
0.0228,1.325830368,21.01174871
0.023,0.78955397,19.50274705
0.0232,0.248597021,17.88292688
0.0234,-0.293966683,16.16149236
0.0236,-0.835054536,14.34822501
0.0238,-1.371591756,12.45342819
0.024,-1.900530717,10.48786851
0.0242,-2.418865963,8.462714659
0.0244,-2.923652586,6.389473979
0.0246,-3.412022843,4.279927034
0.0248,-3.881201062,2.146060689
0.025,-4.32852314,1.05E-14
0.0252,-4.75144471,-2.146060689
0.0254,-5.147563725,-4.279927034
0.0256,-5.514627663,-6.389473979
0.0258,-5.850551361,-8.462714659
0.026,-6.153422926,-10.48786851
0.0262,-6.421521821,-12.45342819
0.0264,-6.653321287,-14.34822501
0.0266,-6.847500499,-16.16149236
0.0268,-7.002953354,-17.88292688
0.027,-7.118794277,-19.50274705
0.0272,-7.19436378,-21.01174871
0.0274,-7.229233312,-22.40135743
0.0276,-7.223206679,-23.66367717
0.0278,-7.176322371,-24.79153517
0.028,-7.088847811,-25.77852272
0.0282,-6.961284095,-26.61903157
0.0284,-6.794357809,-27.30828577
0.0286,-6.589016158,-27.84236884
0.0288,-6.346427217,-28.21824602
0.029,-6.067965777,-28.43378149
0.0292,-5.755209553,-28.48775055
0.0294,-5.409929991,-28.37984652
0.0296,-5.034064116,-28.11068255
0.0298,-4.629735621,-27.68178807
0.03,-4.199281281,-27.09560015
0.0302,-3.745137611,-26.35544962
0.0304,-3.269884307,-25.46554217
0.0306,-2.776234021,-24.43093444
0.0308,-2.266992384,-23.25750525
0.031,-1.745058169,-21.95192229
0.0312,-1.21338887,-20.52160412
0.0314,-0.675008317,-18.9746781
0.0316,-0.13297238,-17.31993418
0.0318,0.409641455,-15.56677494
0.032,0.949749315,-13.72516218
0.0322,1.484285123,-11.8055603
0.0324,2.010213481,-9.818876881
0.0326,2.524547017,-7.776400643
0.0328,3.024364815,-5.689737345
0.033,3.506829193,-3.570743824
0.0332,3.969201372,-1.431460625
0.0334,4.408854566,0.715956419
0.0336,4.823292604,2.859305256
0.0338,5.210160406,4.98640695
0.034,5.567260501,7.085174885
0.0342,5.892563816,9.143683443
0.0344,6.184221256,11.15023577
0.0346,6.440571436,13.09343023
0.0348,6.66015013,14.96222521
0.035,6.841689798,16.74600184
0.0352,6.984153337,18.43462435
0.0354,7.086749145,20.01849764
0.0356,7.148906839,21.48862184
0.0358,7.170288234,22.8366434
0.036,7.150771311,24.0549026
0.0362,7.090473198,25.13647704
0.0364,6.989731861,26.07522101
0.0366,6.849128791,26.86580037
0.0368,6.669448258,27.50372289
0.037,6.451696257,27.98536377
0.0372,6.197048236,28.30798624
0.0374,5.906979453,28.46975708
0.0376,5.583216765,28.46975708
0.0378,5.227581136,28.30798624
0.038,4.842089286,27.98536377
0.0382,4.428935739,27.50372289
0.0384,3.99046969,26.86580037
0.0386,3.529178567,26.07522101
0.0388,3.047682059,25.13647704
0.039,2.548716181,24.0549026
0.0392,2.035112698,22.8366434
0.0394,1.509792413,21.48862184
0.0396,0.975736893,20.01849764
0.0398,0.435982513,18.43462435
0.04,-0.106404977,16.74600184
0.0402,-0.648343344,14.96222521
0.0404,-1.186754191,13.09343023
0.0406,-1.718578779,11.15023577
0.0408,-2.240795039,9.143683443
0.041,-2.750437065,7.085174885
0.0412,-3.244608388,4.98640695
0.0414,-3.720500517,2.859305256
0.0416,-4.175409074,0.715956419
0.0418,-4.606749077,-1.431460625
0.042,-5.012070346,-3.570743824
0.0422,-5.389069818,-5.689737345
0.0424,-5.735604705,-7.776400643
0.0426,-6.04970609,-9.818876881
0.0428,-6.329586245,-11.8055603
0.043,-6.573654513,-13.72516218
0.0432,-6.78052088,-15.56677494
0.0434,-6.949007565,-17.31993418
0.0436,-7.078152465,-18.9746781
0.0438,-7.167220225,-20.52160412
0.044,-7.215706254,-21.95192229
0.0442,-7.223334788,-23.25750525
0.0444,-7.190068131,-24.43093444
0.0446,-7.116098721,-25.46554217
0.0448,-7.001849958,-26.35544962
0.045,-6.847976022,-27.09560015
0.0452,-6.655348711,-27.68178807
0.0454,-6.425066379,-28.11068255
0.0456,-6.158433209,-28.37984652
0.0458,-5.856962463,-28.48775055
0.046,-5.522355271,-28.43378149
0.0462,-5.156485025,-28.21824602
0.0464,-4.761419804,-27.84236884
0.0466,-4.339450904,-27.30828577
0.0468,-3.892959011,-26.61903157
0.047,-3.424484524,-25.77852272
0.0472,-2.936698577,-24.79153517
0.0474,-2.432377644,-23.66367717
0.0476,-1.914390127,-22.40135743
0.0478,-1.385672694,-21.01174871
0.048,-0.849230656,-19.50274705
0.0482,-0.308106379,-17.88292688
0.0484,0.234624052,-16.16149236
0.0486,0.775878403,-14.34822501
0.0488,1.312584356,-12.45342819
0.049,1.84169281,-10.48786851
0.0492,2.360198987,-8.462714659
0.0494,2.865159723,-6.389473979
0.0496,3.353706047,-4.279927034
0.0498,3.823063109,-2.146060689
0.05,4.270565636,-2.09E-14
0.0502,4.693671162,2.146060689
0.0504,5.089976829,4.279927034
0.0506,5.457230751,6.389473979
0.0508,5.793347299,8.462714659
0.051,6.096414343,10.48786851
0.0512,6.36470562,12.45342819
0.0514,6.59668587,14.34822501
0.0516,6.791029216,16.16149236
0.0518,6.946615817,17.88292688
0.052,7.062569932,19.50274705
0.0522,7.138251569,21.01174871
0.0524,7.17324231,22.40135743
0.0526,7.167352977,23.66367717
0.0528,7.120614569,24.79153517
0.053,7.033302784,25.77852272
0.0532,6.90590415,26.61903157
0.0534,6.739151,27.30828577
0.0536,6.533977212,27.84236884
0.0538,6.291523373,28.21824602
0.054,6.013099419,28.43378149
0.0542,5.700366631,28.48775055
0.0544,5.355140792,28.37984652
0.0546,4.979364888,28.11068255
0.0548,4.575176193,27.68178807
0.055,4.144874255,27.09560015
0.0552,3.690900879,26.35544962
0.0554,3.215834141,25.46554217
0.0556,2.72237181,24.43093444
0.0558,2.213317644,23.25750525
0.056,1.691561152,21.95192229
0.0562,1.160070802,20.52160412
0.0564,0.621862642,18.9746781
0.0566,0.079997087,17.31993418
0.0568,-0.462447194,15.56677494
0.057,-1.002388881,13.72516218
0.0572,-1.536760756,11.8055603
0.0574,-2.062527699,9.818876881
0.0576,-2.576699621,7.776400643
0.0578,-3.076355047,5.689737345
0.058,-3.558653012,3.570743824
0.0582,-4.020854444,1.431460625
0.0584,-4.460333563,-0.715956419
0.0586,-4.874593527,-2.859305256
0.0588,-5.261281397,-4.98640695
0.059,-5.618201191,-7.085174885
0.0592,-5.943324363,-9.143683443
0.0594,-6.234804328,-11.15023577
0.0596,-6.490982712,-13.09343023
0.0598,-6.710402496,-14.96222521
0.06,-6.891810977,-16.74600184
0.0602,-7.034175556,-18.43462435
0.0604,-7.136681151,-20.01849764
0.0606,-7.198745283,-21.48862184
0.0608,-7.22001803,-22.8366434
0.061,-7.200382052,-24.0549026
0.0612,-7.1399574,-25.13647704
0.0614,-7.039090879,-26.07522101
0.0616,-6.898361767,-26.86580037
0.0618,-6.718570492,-27.50372289
0.062,-6.500739571,-27.98536377
0.0622,-6.246105307,-28.30798624
0.0624,-5.956112758,-28.46975708
0.0626,-5.632399545,-28.46975708
0.0628,-5.276775942,-28.30798624
0.063,-4.891244148,-27.98536377
0.0632,-4.478041992,-27.50372289
0.0634,-4.039500295,-26.86580037
0.0636,-3.578120531,-26.07522101
0.0638,-3.096531017,-25.13647704
0.064,-2.59746804,-24.0549026
0.0642,-2.083768031,-22.8366434
0.0644,-1.558343643,-21.48862184
0.0646,-1.024181527,-20.01849764
0.0648,-0.484313079,-18.43462435
0.065,0.058191504,-16.74600184
0.0652,0.600252805,-14.96222521
0.0654,1.13879197,-13.09343023
0.0656,1.670748534,-11.15023577
0.0658,2.193102458,-9.143683443
0.066,2.702886284,-7.085174885
0.0662,3.197205063,-4.98640695
0.0664,3.673252099,-2.859305256
0.0666,4.128322785,-0.715956419
0.0668,4.559832997,1.431460625
0.067,4.965329892,3.570743824
0.0672,5.342508944,5.689737345
0.0674,5.689227022,7.776400643
0.0676,6.003514066,9.818876881
0.0678,6.283581095,11.8055603
0.068,6.527833948,13.72516218
0.0682,6.734868387,15.56677494
0.0684,6.903490877,17.31993418
0.0686,7.03274219,18.9746781
0.0688,7.121908075,20.52160412
0.069,7.170501246,21.95192229
0.0692,7.17824903,23.25750525
0.0694,7.145119822,24.43093444
0.0696,7.071295131,25.46554217
0.0698,6.957201926,26.35544962
0.07,6.803479685,27.09560015
0.0702,6.611015694,27.68178807
0.0704,6.380874267,28.11068255
0.0706,6.114337327,28.37984652
0.0708,5.812844648,28.48775055
0.071,5.4782542,28.43378149
0.0712,5.112444177,28.21824602
0.0714,4.7174828,27.84236884
0.0716,4.295623094,27.30828577
0.0718,3.849262053,26.61903157
0.072,3.380932636,25.77852272
0.0722,2.893294954,24.79153517
0.0724,2.389118109,23.66367717
0.0726,1.871265554,22.40135743
0.0728,1.342679288,21.01174871
0.073,0.806363518,19.50274705
0.0732,0.265365579,17.88292688
0.0734,-0.277239369,16.16149236
0.0736,-0.818368907,14.34822501
0.0738,-1.354948935,12.45342819
0.074,-1.883929841,10.48786851
0.0742,-2.402301701,8.462714659
0.0744,-2.907120318,6.389473979
0.0746,-3.395516778,4.279927034
0.0748,-3.864717235,2.146060689
0.075,-4.312054778,1.33E-13
0.0752,-4.73498873,-2.146060689
0.0754,-5.131116119,-4.279927034
0.0756,-5.498188263,-6.389473979
0.0758,-5.834123848,-8.462714659
0.076,-6.137016283,-10.48786851
0.0762,-6.405142762,-12.45342819
0.0764,-6.636972503,-14.34822501
0.0766,-6.831179093,-16.16149236
0.0768,-6.98665648,-17.88292688
0.077,-7.10251862,-19.50274705
0.0772,-7.178109081,-21.01174871
0.0774,-7.213000414,-22.40135743
0.0776,-7.207001223,-23.66367717
0.0778,-7.160156962,-24.79153517
0.078,-7.072743308,-25.77852272
0.0782,-6.945263868,-26.61903157
